traditional,simplified,pinyintone,pinyinnum,pinyinnone,tonenumber,MCbaxter,MCinitial,MCfinal,MCtone,MCipa,OC,gloss,GSR,HYDZD,rad,str,Unicode
埃,埃,āi,ai1,ai,1,'oj,'-,-oj,ping,ʔoj¹,*qˤə,dust,0938b,"10447,15",32,7,U+57C3
哀,哀,āi,ai1,ai,1,'oj,'-,-oj,ping,ʔoj¹,*ʔˤəj,to pity; sad,0550h,"10620,1",30,6,U+54C0
藹,蔼,ǎi,ai3,ai,3,'ajH,'-,-aj,qu,ʔaj³,*qˤa[t]-s,"ample, numerous",0313a',"53328,03",140,16,U+85F9
阸,阸,ài,ai4,ai,4,'eaH,'-,-ea,qu,ʔɛ³,*qˤ<r>[i]k-s,a narrow pass,0844g,"64124,01",170,5,U+9638
隘,隘,ài,ai4,ai,4,'eaH,'-,-ea,qu,ʔɛ³,*qˤ<r>[i]k-s,a narrow pass,0849h,"64152,15",170,10,U+9698
愛,爱,ài,ai4,ai,4,'ojH,'-,-oj,qu,ʔoj³,*[q]ˤə[p]-s,to love; to grudge (< ‘draw close to oneself’?),0508a,"42323,01",61,9,U+611B
僾,僾,ài,ai4,ai,4,'ojH,'-,-oj,qu,ʔoj³,*qˤəp-s,"to pant, lose the breath",0508d,"10226,08",9,13,U+50FE
艾,艾,ài,ai4,ai,4,ngajH,ng-,-aj,qu,ŋaj³,*C.ŋˤa[t]-s,Artemisia; moxa,0347c,"53172,09",140,2,U+827E
鞌,鞌,ān,an1,an,1,'an,'-,-an,ping,ʔan¹,*[ʔ]ˤa[n],[place name],0146-,"74335,09",177,6,U+978C
鞍,鞍,ān,an1,an,1,'an,'-,-an,ping,ʔan¹,*[ʔ]ˤa[n],[place name],0146-,"74335,08",177,6,U+978D
安,安,ān,an1,an,1,'an,'-,-an,ping,ʔan¹,*[ʔ]ˤa[n],peace(ful),0146a,"20913,09",40,3,U+5B89
安,安,ān,an1,an,1,'an,'-,-an,ping,ʔan¹,*[ʔ]ˤa[n],how,0146a,"20913,09",40,3,U+5B89
安,安,ān,an1,an,1,'an,'-,-an,ping,ʔan¹,*[ʔ]ˤa[n],"安息 Ānxī (Iranian country in the western regions, W. Hàn; from Aršaka = Arsaces, founder of the Arsacid dynasty)",0146a,"20913,09",40,3,U+5B89
晻,晻,ǎn,an3,an,3,'omX,'-,-om,shang,ʔom²,*qˤ[o]mʔ,dark,0614e,"21517,13",72,8,U+667B
按,按,àn,an4,an,4,'anH,'-,-an,qu,ʔan³,*ʔˤa[n]-s,repress,0146d,"31876,01",64,6,U+6309
